file name,Plan found with cost,Total time,Nodes generated during search,Nodes expanded during search,IW search completed in
blocksaips01.pddl, 6, 0.005133, 17, 6,0.005133 secs
blocksaips02.pddl, 10, 0.008378, 35, 16,0.008378 secs
blocksaips03.pddl, 6, 0.003138, 17, 6,0.003138 secs
blocksaips04.pddl, 12, 0.012637, 45, 19,0.012637 secs
blocksaips05.pddl, 10, 0.019762, 119, 65,0.019762 secs
blocksaips06.pddl,no plan, 0.049808, 312, 253,0.049808 secs
blocksaips07.pddl, 12, 0.028661, 53, 17,0.028661 secs
blocksaips08.pddl, 10, 0.023372, 42, 12,0.023372 secs
blocksaips09.pddl, 24, 0.057418, 223, 112,0.057418 secs
blocksaips10.pddl,no plan, 0.299834, 1025, 860,0.299834 secs
blocksaips11.pddl, 22, 0.122059, 414, 189,0.122059 secs
blocksaips12.pddl,no plan, 0.27521, 868, 827,0.27521 secs
blocksaips13.pddl, 18, 0.194989, 419, 215,0.194989 secs
blocksaips14.pddl, 20, 0.313504, 884, 473,0.313504 secs
blocksaips15.pddl, 16, 0.112194, 81, 22,0.112194 secs
blocksaips16.pddl,no plan, 1.79815, 3624, 2851,1.79815 secs
blocksaips17.pddl,no plan, 1.52399, 2903, 2502,1.52399 secs
blocksaips18.pddl, 28, 0.536591, 1041, 446,0.536591 secs
blocksaips19.pddl,no plan, 3.62791, 5771, 5077,3.62791 secs
blocksaips20.pddl,no plan, 3.39307, 5618, 4617,3.39307 secs
blocksaips21.pddl,no plan, 2.42942, 3869, 3484,2.42942 secs
blocksaips22.pddl, 36, 1.23338, 1077, 545,1.23338 secs
blocksaips23.pddl, 34, 1.44722, 1685, 725,1.44722 secs
blocksaips24.pddl,no plan, 5.71195, 6827, 6020,5.71195 secs
blocksaips25.pddl,no plan, 9.12513, 8203, 7737,9.12513 secs
blocksaips26.pddl,no plan, 10.5252, 9523, 8362,10.5252 secs
blocksaips27.pddl,no plan, 13.4797, 10027, 9512,13.4797 secs
blocksaips28.pddl,no plan, 16.9463, 13388, 11494,16.9463 secs
blocksaips29.pddl, 50, 5.27236, 2701, 1213,5.27236 secs
blocksaips30.pddl,no plan, 31.6822, 22023, 17561,31.6822 secs
blocksaips31.pddl,no plan, 36.3196, 18607, 17908,36.3196 secs
blocksaips32.pddl,no plan, 30.1453, 17764, 16158,30.1453 secs
blocksaips33.pddl,no plan, 61.9572, 29559, 25436,61.9572 secs
blocksaips34.pddl,no plan, 42.133, 20578, 20523,42.133 secs
blocksaips35.pddl,no plan, 103.551, 45483, 34308,103.551 secs
blocksaips36.pddl,no plan, 107.826, 43266, 35618,107.826 secs
blocksaips37.pddl,no plan, 116.244, 37271, 33306,116.244 secs
blocksaips38.pddl,no plan, 112.976, 36190, 35892,112.976 secs
blocksaips39.pddl,no plan, 147.771, 42341, 42313,147.771 secs
